WNT age,SHH age,G3 age,G4 age,mean0,std0,median0,q1-0,q3-0,Asia follow,US follow,median1,q1-1,q3-1,TP53+ age,TP53- age,mean-2,std-2,median-2,q1-2,q3-2,Asia age,US age,mean-3,std3,median3,q1-3,q3-3,four-type age,VS age,TP age,followup-all,mean4,std4,median4,q1-4,q3-4,internal-age,external-age,all-age,mean(std),"median(Q1, Q3)"
13,29,3,5,10.07712121,4.812171516,9,7,12,80,19.4,19,8,39,20,29,9.043,9.363891575,6,4,9,5,5.6,9.35750934,7.338306526,8,5,11,5,5,29,80,9.213668172,7.190107845,8,5,11,5,2,5,9.589 (7.957),"8 (5,  11)"
9,14,9,11,10.37,10.91062148,7,4,12,44,14.4,46.3,20.7,73.6,9,14,11.8032,11.91685312,8,4,13,11,2.1,8.73,6.344754899,7.65,4.7,11.1,11,11,14,44,9.270075027,7.208227736,8,5,11,4,8,4,8.820 (5.819),"8 (4.65,  11.5)"
6,8,9,4,7.359130435,5.057578917,6.2,4,9.5,11,61.5,,,,7,8,,,,,,4,4.6,,,,,,4,4,8,11,11.01457143,11.29412732,7,4,12,29,0.83,29,9.429 (7.565),"8 (5,  11)"
14,21,10,4,8.713005181,4.801342213,8,6,11,15,75.4,,,,13,21,,,,,,29,8,,,,,,29,29,21,15,28.28968594,24.87484274,22,9,43.725,4,9,4,,
8,7,10,8,,,,,,11,38.4,,,,6,7,,,,,,4,0.3,,,,,,4,4,7,11,,,,,,14,4,14,,
5,2,7,5,,,,,,71,26.5,,,,5,2,,,,,,14,7.8,,,,,,14,14,2,71,,,,,,6,16,6,,
15,36,7,7,,,,,,71,4.4,,,,5,36,,,,,,6,,,,,,,3,6,36,71,,,,,,3,15,3,,
2,36,9,5,,,,,,12,13.2,,,,17,36,,,,,,3,6.1,,,,,,13,3,36,12,,,,,,13,9,13,,
8,20,9,14,,,,,,71,73.9,,,,5,31,,,,,,13,12.2,,,,,,9,13,20,71,,,,,,9,7,9,,
7,31,7,6,,,,,,71,46.9,,,,28,3,,,,,,9,7.1,,,,,,9,9,31,71,,,,,,8,11,8,,
25,9,10,4,,,,,,71,59.1,,,,3,4,,,,,,9,10.9,,,,,,8,9,9,71,,,,,,21,12,21,,
3,3,7,7,,,,,,70,31.3,,,,9,3,,,,,,8,2.8,,,,,,21,8,3,70,,,,,,7,13,7,,
12,4,6,3,,,,,,70,107.4,,,,4,5,,,,,,21,11.1,,,,,,7,21,4,70,,,,,,2,12,2,,
12,3,5,4,,,,,,69,10.8,,,,4,7,,,,,,7,3.3,,,,,,2,7,3,69,,,,,,9,4,9,,
1,5,6,7,,,,,,72,111.2,,,,20,34,,,,,,2,1.7,,,,,,9,2,5,72,,,,,,8,8,8,,
10,7,6,7,,,,,,69,59.2,,,,6,6,,,,,,9,15.5,,,,,,8,9,7,69,,,,,,6,4,6,,
8,34,3,7,,,,,,81,12,,,,3,7,,,,,,8,7.8,,,,,,6,8,34,81,,,,,,36,9,36,,
8,6,12,8,,,,,,69,14.3,,,,7,12,,,,,,6,3.5,,,,,,36,6,6,69,,,,,,5,5,5,,
12,7,5,8,,,,,,29,17.3,,,,4,1,,,,,,36,7.3,,,,,,5,36,7,29,,,,,,7,14,7,,
12,7,11,7,,,,,,36,0.7,,,,6,4,,,,,,5,1.3,,,,,,7,5,7,36,,,,,,36,13,36,,
10,12,10,16,,,,,,81,91,,,,8,16,,,,,,7,13.8,,,,,,36,7,12,81,,,,,,5,6,5,,
10,13,8,6,,,,,,68,77.4,,,,4,4,,,,,,36,7.2,,,,,,5,36,13,68,,,,,,20,12,20,,
11,1,3,33,,,,,,55,128.7,,,,52,11,,,,,,5,3.8,,,,,,20,5,1,55,,,,,,14,10,14,,
8,4,5,9,,,,,,14,93.1,,,,6,11,,,,,,20,8.2,,,,,,14,20,4,14,,,,,,6,2.92,6,,
9,16,4,3,,,,,,68,114.5,,,,5,5,,,,,,14,11.1,,,,,,6,14,16,68,,,,,,4,2.17,4,,
10,4,8,10,,,,,,73,58.9,,,,7,4,,,,,,6,8.3,,,,,,4,6,4,73,,,,,,31,7,31,,
22,11,8,4,,,,,,5,36.7,,,,4,2,,,,,,4,5.6,,,,,,31,4,11,5,,,,,,7,4,7,,
10,6,5,7,,,,,,70,50.3,,,,2,38,,,,,,31,15.2,,,,,,7,31,6,70,,,,,,3,5,3,,
6,11,13,10,,,,,,63,23.6,,,,9,10,,,,,,7,9.1,,,,,,3,7,11,63,,,,,,4,9,4,,
19,5,7,7,,,,,,68,107.4,,,,7,2,,,,,,3,10.6,,,,,,4,3,5,68,,,,,,7,14,7,,
26,4,10,9,,,,,,3,75.9,,,,5,34,,,,,,4,11.6,,,,,,7,4,4,3,,,,,,9,6,9,,
8,2,10,13,,,,,,63,111.1,,,,10,2,,,,,,7,10,,,,,,9,7,2,63,,,,,,7,9,7,,
9,5,7,8,,,,,,63,8.8,,,,6,8,,,,,,9,0.6,,,,,,7,9,5,63,,,,,,3,4,3,,
12,38,5,4,,,,,,11,77,,,,3,5,,,,,,7,11.1,,,,,,3,7,38,11,,,,,,7,11,7,,
9,5,30,21,,,,,,1,53.9,,,,43,11,,,,,,3,12.6,,,,,,7,3,5,1,,,,,,8,16,8,,
10,17,8,6,,,,,,11,75.3,,,,6,1,,,,,,7,7,,,,,,8,7,17,11,,,,,,8,4,8,,
23,5,5,3,,,,,,66,258.4,,,,34,7,,,,,,8,9.4,,,,,,8,8,5,66,,,,,,7,15,7,,
12,10,4,9,,,,,,61,49.2,,,,11,4,,,,,,8,1.3,,,,,,7,8,10,61,,,,,,16,4,16,,
13,28,4,4,,,,,,6,47.8,,,,6,34,,,,,,7,3.4,,,,,,16,7,28,6,,,,,,6,25,6,,
5,3,6,3,,,,,,3,112.1,,,,1,8,,,,,,16,7.1,,,,,,6,16,3,3,,,,,,33,11,33,,
9,2,8,8,,,,,,62,24.4,,,,2,6,,,,,,6,14,,,,,,33,6,2,62,,,,,,4,4,4,,
