Experiment,Test AUC Overall,Test AUC Per Fold,Test AUC Per Subtype,Test F1 Overall,Test F1 Per Fold,Test F1 Per Subtype,Validation AUC Overall,Validation AUC Per Subtype,Validation F1 Overall,Validation F1 Per Subtype,Golden AUC Overall,Golden AUC Per Subtype,Golden F1 Overall,Golden F1 Per Subtype,details file
Age_Radio,0.8146,"[0.82, 0.7785, 0.8506]",[0.879  0.773  0.7919],0.6758,"[0.6942, 0.6386, 0.6935]","[0.5899, 0.7561, 0.5468]",0.7963,"[0.8724, 0.7432, 0.7732]",0.663,"[0.5806, 0.7273, 0.5647]",0.807,"[0.7645, 0.8127, 0.8437]",0.6494,"[nan, 0.8254, 0.3333]",Age_Radio_02132036.txt
 Age_Radio,0.807,"[0.7802, 0.7872, 0.8557]",[0.8702 0.7708 0.7799],0.6589,"[0.6352, 0.6337, 0.728]","[0.5641, 0.7238, 0.5667]",0.7885,"[0.829, 0.783, 0.7534]",0.6769,"[0.5143, 0.7564, 0.5823]",0.8508,"[0.7915, 0.8485, 0.9125]",0.6701,"[0.1667, 0.807, 0.4211]",Age_Radio_04010152.txt
Age_Radio,0.807,"[0.7802, 0.7872, 0.8557]",[0.8702 0.7708 0.7799],0.6589,"[0.6352, 0.6337, 0.728]","[0.5641, 0.7238, 0.5667]",0.7885,"[0.829, 0.783, 0.7534]",0.6769,"[0.5143, 0.7564, 0.5823]",0.8508,"[0.7915, 0.8485, 0.9125]",0.6701,"[0.1667, 0.807, 0.4211]",Age_Radio_04010154.txt
Age_Radio,0.8065,"[0.7931, 0.8061, 0.8566]",[0.8593 0.7742 0.786 ],0.6557,"[0.6543, 0.6149, 0.6885]","[0.5789, 0.7241, 0.5473]",0.7892,"[0.85, 0.7752, 0.7425]",0.6705,"[0.5714, 0.7403, 0.5679]",0.7765,"[0.7181, 0.7989, 0.8125]",0.6423,"[nan, 0.8136, 0.3529]",Age_Radio_04010225.txt
Age_Radio,0.8065,"[0.7931, 0.8061, 0.8566]",[0.8593 0.7742 0.786 ],0.6557,"[0.6543, 0.6149, 0.6885]","[0.5789, 0.7241, 0.5473]",0.7892,"[0.85, 0.7752, 0.7425]",0.6705,"[0.5714, 0.7403, 0.5679]",0.7765,"[0.7181, 0.7989, 0.8125]",0.6423,"[nan, 0.8136, 0.3529]",Age_Radio_04010228.txt
Age_Radio,0.8065,"[0.7931, 0.8061, 0.8566]",[0.8593 0.7742 0.786 ],0.6557,"[0.6543, 0.6149, 0.6885]","[0.5789, 0.7241, 0.5473]",0.7892,"[0.85, 0.7752, 0.7425]",0.6705,"[0.5714, 0.7403, 0.5679]",0.7765,"[0.7181, 0.7989, 0.8125]",0.6423,"[nan, 0.8136, 0.3529]",Age_Radio_04010229.txt
Age_Radio,0.8062,"[0.7813, 0.7881, 0.8569]",[0.8687 0.7708 0.7791],0.6531,"[0.6246, 0.6337, 0.7239]","[0.5677, 0.718, 0.5563]",0.7901,"[0.832, 0.7848, 0.7534]",0.6769,"[0.5143, 0.7564, 0.5823]",0.8542,"[0.7954, 0.8485, 0.9188]",0.6701,"[0.1667, 0.807, 0.4211]",Age_Radio_04010234.txt
Age_Radio,0.8062,"[0.7813, 0.7881, 0.8569]",[0.8687 0.7708 0.7791],0.6531,"[0.6246, 0.6337, 0.7239]","[0.5677, 0.718, 0.5563]",0.7901,"[0.832, 0.7848, 0.7534]",0.6769,"[0.5143, 0.7564, 0.5823]",0.8542,"[0.7954, 0.8485, 0.9188]",0.6701,"[0.1667, 0.807, 0.4211]",Age_Radio_04010235.txt
Age_Radio,0.766,"[0.7492, 0.7302, 0.8417]",[0.8371 0.7331 0.7279],0.6039,"[0.5845, 0.5539, 0.665]","[0.5087, 0.6728, 0.5032]",0.7849,"[0.8549, 0.7191, 0.7808]",0.6508,"[0.55, 0.6986, 0.5952]",0.7749,"[0.7645, 0.7851, 0.775]",0.6446,"[0.25, 0.7636, 0.3529]",Age_Radio_04010301.txt
Age_Radio,0.8065,"[0.7802, 0.7875, 0.8562]",[0.8692 0.7701 0.7801],0.6571,"[0.6352, 0.6337, 0.7286]","[0.5677, 0.7215, 0.5629]",0.7897,"[0.83, 0.7855, 0.7537]",0.6769,"[0.5143, 0.7564, 0.5823]",0.8499,"[0.7915, 0.8457, 0.9125]",0.6701,"[0.1667, 0.807, 0.4211]",Age_Radio_04010312.txt
