,Value
T2_wavelet-HHL_glcm_SumSquares_x,0.055081859258672594
T2_wavelet-LLH_gldm_DependenceNonUniformity_x,0.07240410977310635
T1E_lbp-2D_glrlm_RunLengthNonUniformity_x,0.07350712472428103
T1E_log-sigma-5-mm-3D_firstorder_90Percentile_x,0.0856627052948737
T2_wavelet-HHL_firstorder_Skewness_x,0.12873100053329584
T2_original_glszm_LargeAreaEmphasis_y,0.14357786348670992
T1E_log-sigma-1-mm-3D_glcm_ClusterShade_x,0.14399136841506102
T2_wavelet-LLH_glcm_ClusterShade_y,0.16436139116288323
T1E_wavelet-HLL_firstorder_Median_x,0.17011165341266238
T1E_log-sigma-3-mm-3D_glcm_Autocorrelation_x,0.17459302595257017
T1E_wavelet-LHL_firstorder_Median_x,0.1933569183903762
T1E_log-sigma-3-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_x,0.21261459671374616
T2_original_shape_Maximum3DDiameter_y,0.2162462396736696
T1E_log-sigma-3-mm-3D_glszm_LowGrayLevelZoneEmphasis_x,0.22368406552613326
T1E_log-sigma-5-mm-3D_glrlm_LowGrayLevelRunEmphasis_x,0.22579878444578316
T1E_log-sigma-3-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_x,0.23345333809891436
T2_wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized_x,0.23414669855600026
T2_log-sigma-1-mm-3D_gldm_LowGrayLevelEmphasis_x,0.28115659043545466
T1E_wavelet-LHL_firstorder_Mean_x,0.34142774365912015
AgeOg,0.3783453996243089
